City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stanley,54.868,-1.6985,17.62,92,75,1.54,GB,1691725869
1,georgetown,5.4112,100.3354,30.97,66,20,3.6,MY,1691725869
2,alofi,-19.0595,-169.9187,27.94,78,40,3.09,NU,1691725869
3,port elizabeth,-33.918,25.5701,20.05,45,0,3.09,ZA,1691725869
4,bredasdorp,-34.5322,20.0403,12.1,68,0,1.38,ZA,1691725870
5,port-aux-francais,-49.35,70.2167,3.22,80,41,16.57,TF,1691725870
6,chonchi,-42.6128,-73.8092,4.51,94,63,2.01,CL,1691725870
7,yellowknife,62.456,-114.3525,17.29,77,75,2.57,CA,1691725870
8,puerto natales,-51.7236,-72.4875,-0.96,94,26,1.47,CL,1691725576
9,papatowai,-46.5619,169.4708,7.64,81,99,2.3,NZ,1691725871
10,rosso,16.4986,-15.8153,26.09,76,98,6.43,SN,1691725871
11,plastun,44.7561,136.2939,17.0,96,100,3.22,RU,1691725871
12,ribeira grande,38.5167,-28.7,20.43,87,0,3.58,PT,1691725871
13,waitangi,-43.9535,-176.5597,11.57,90,100,2.24,NZ,1691725871
14,blackmans bay,-43.0167,147.3167,15.07,69,100,2.74,AU,1691725871
15,invercargill,-46.4,168.35,8.9,77,86,1.79,NZ,1691725872
16,salekhard,66.53,66.6019,13.29,59,0,3.8,RU,1691725872
17,longyearbyen,78.2186,15.6401,9.91,76,100,0.0,SJ,1691725872
18,qamdo,31.1667,97.2333,10.61,74,100,1.76,CN,1691725872
19,carrigaline,51.8117,-8.3986,15.86,100,75,6.17,IE,1691725872
20,qaqortoq,60.7167,-46.0333,6.3,80,100,0.57,GL,1691725872
21,margaret river,-33.95,115.0667,15.66,64,31,3.49,AU,1691725872
22,grytviken,-54.2811,-36.5092,0.48,96,100,5.71,GS,1691725873
23,maricopa,33.0581,-112.0476,38.12,25,40,3.6,US,1691725873
24,yazman,29.1212,71.7446,33.81,46,35,8.36,PK,1691725873
25,mangrol,21.1167,70.1167,27.11,81,100,6.94,IN,1691725873
26,klyuchi,52.2667,79.1667,15.23,79,100,6.28,RU,1691725873
27,codrington,-38.2667,141.9667,13.81,72,100,4.98,AU,1691725873
28,edinburgh of the seven seas,-37.0676,-12.3116,11.86,72,96,11.9,SH,1691725873
29,ushuaia,-54.8,-68.3,1.81,87,75,2.57,AR,1691725873
30,iqaluit,63.7506,-68.5145,3.85,100,100,3.09,CA,1691725873
31,kulhudhuffushi,6.6221,73.07,27.82,77,93,6.37,MV,1691725874
32,ruse,43.8564,25.9708,17.75,67,80,3.3,BG,1691725874
33,isafjordur,66.0755,-23.124,6.7,92,83,4.57,IS,1691725874
34,atafu village,-8.5421,-172.5159,28.12,76,85,4.56,TK,1691725874
35,new norfolk,-42.7826,147.0587,15.72,71,100,3.28,AU,1691725874
36,lukolela,-1.0605,17.1821,20.27,94,78,1.22,CD,1691725874
37,tazovsky,67.4667,78.7,8.56,46,0,11.15,RU,1691725874
38,west island,-12.1568,96.8225,26.99,78,100,7.2,CC,1691725874
39,vorgashor,67.5833,63.95,9.73,65,60,4.83,RU,1691725874
40,adamstown,-25.066,-130.1015,18.2,59,51,11.16,PN,1691725875
41,ixtapa,20.7,-105.2,28.57,89,100,1.03,MX,1691725875
42,mikomeseng,2.1361,10.6132,20.03,99,98,0.74,GQ,1691725875
43,cockburn town,21.4612,-71.1419,28.89,85,100,8.89,TC,1691725875
44,kingston,17.997,-76.7936,26.8,96,41,0.45,JM,1691725875
45,luderitz,-26.6481,15.1594,14.61,77,77,3.06,NA,1691725875
46,st. john's,47.5649,-52.7093,17.6,95,100,1.54,CA,1691725866
47,lompoc,34.6391,-120.4579,21.08,87,100,1.54,US,1691725875
48,thompson,55.7435,-97.8558,15.09,67,75,1.54,CA,1691725875
49,ust-tsilma,65.441,52.1498,17.93,59,5,0.9,RU,1691725876
50,yoloten,37.2989,62.3597,33.66,20,0,2.85,TM,1691725876
51,tralee,52.2704,-9.7026,13.05,96,11,2.55,IE,1691725876
52,lata,40.1629,-8.3327,18.37,92,0,1.41,PT,1691725876
53,vorkuta,67.5,64.0,9.97,65,57,4.96,RU,1691725876
54,jamestown,42.097,-79.2353,17.8,95,75,4.12,US,1691725876
55,college,64.8569,-147.8028,19.97,87,100,2.06,US,1691725876
56,velikiye luki,56.34,30.5452,14.99,75,100,1.69,RU,1691725876
57,coahuayana de hidalgo,18.7,-103.6583,26.63,87,90,0.19,MX,1691725876
58,san patricio,28.017,-97.5169,29.97,82,0,7.01,US,1691725876
59,kapuskasing,49.4169,-82.4331,15.05,94,100,5.14,CA,1691725876
60,arteche,12.2645,125.4048,30.88,69,85,2.06,PH,1691725877
61,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,52,20,6.0,RU,1691725877
62,boguchany,58.3814,97.4531,24.44,46,49,2.33,RU,1691725877
63,yamada,39.4667,141.95,29.38,67,0,4.9,JP,1691725877
64,bilibino,68.0546,166.4372,17.05,52,94,2.3,RU,1691725877
65,port mathurin,-19.6833,63.4167,23.19,79,25,9.46,MU,1691725877
66,xilin hot,43.9667,116.0333,26.2,60,96,4.67,CN,1691725877
67,yunak,38.8142,31.7322,17.86,81,0,3.4,TR,1691725877
68,albany,42.6001,-73.9662,18.69,93,22,1.97,US,1691725877
69,bethel,41.3712,-73.414,20.67,87,63,1.89,US,1691725877
70,tofol,5.3248,163.0078,27.88,83,75,1.54,FM,1691725877
71,changli,39.7042,119.1506,28.96,55,44,1.02,CN,1691725878
72,posto fiscal rolim de moura,-13.0833,-62.2667,25.74,49,28,0.52,BR,1691725878
73,hilo,19.7297,-155.09,27.85,81,75,4.12,US,1691725878
74,sandnessjoen,66.0217,12.6316,12.06,94,75,2.06,NO,1691725878
75,north bay,46.3168,-79.4663,16.08,93,20,1.54,CA,1691725878
76,markovo,57.3206,107.0881,19.8,68,100,3.28,RU,1691725878
77,thunder bay,48.4001,-89.3168,15.99,77,75,3.09,CA,1691725588
78,weno,7.4515,151.8468,30.97,70,100,3.6,FM,1691725878
79,nagqu,31.5,92.0,12.96,62,100,0.75,CN,1691725878
80,bulandshahr,28.4,77.85,32.58,56,44,3.17,IN,1691725878
81,inarajan village,13.2736,144.7484,28.54,94,100,8.53,GU,1691725878
82,puerto ayora,-0.7393,-90.3518,24.19,93,33,1.79,EC,1691725878
83,talnakh,69.4865,88.3972,7.34,79,100,7.49,RU,1691725879
84,westerland,54.9079,8.3033,16.01,94,75,0.51,DE,1691725879
85,kalawit,8.0667,122.5167,29.6,74,84,3.08,PH,1691725879
86,ta`u,-14.2336,-169.5144,27.61,77,94,6.86,AS,1691725879
87,nacala,-14.5428,40.6728,18.88,87,1,4.44,MZ,1691725879
88,opuwo,-18.0607,13.84,15.53,33,0,2.75,NA,1691725879
89,broome,42.2506,-75.833,18.15,95,0,1.34,US,1691725879
90,illapel,-31.6308,-71.1653,10.64,74,42,1.18,CL,1691725880
91,nova vicosa,-17.8919,-39.3719,21.88,81,30,2.05,BR,1691725880
92,jodhpur,26.2867,73.03,29.22,62,16,7.4,IN,1691725880
93,bikenibeu village,1.3673,173.1241,27.98,89,40,1.03,KI,1691725880
94,tadine,-21.55,167.8833,19.69,55,0,7.51,NC,1691725880
95,dryden,49.7833,-92.7503,16.16,67,100,4.12,CA,1691725880
96,utrik,11.2278,169.8474,28.45,76,23,6.37,MH,1691725880
97,brisas de zicatela,15.8369,-97.0419,30.29,58,0,0.0,MX,1691725880
98,qandala,11.472,49.8728,31.63,51,66,3.53,SO,1691725880
99,east london,-33.0153,27.9116,13.52,82,0,3.6,ZA,1691725881
100,renfrew,55.872,-4.3925,18.97,84,100,2.57,GB,1691725881
101,agat village,13.3886,144.6585,28.52,88,75,4.63,GU,1691725881
102,khandyga,62.6667,135.6,26.09,28,0,2.44,RU,1691725881
103,susuman,62.7833,148.1667,20.84,36,4,0.3,RU,1691725881
104,rybinsk,58.0446,38.8426,18.3,83,25,0.8,RU,1691725881
105,ilulissat,69.2167,-51.1,7.01,87,100,1.03,GL,1691725881
